FVT,BaseType,Test_label,Test_col_used,LCL,UCL,N_total,N_out_of_limits,Percent_out_of_limits
FVT7,CD,Get Angle0,Get Angle0,0.0,0.0,4086,0,0.0
FVT7,CD,Get Angle1,Get Angle1,22.5,24.0,4086,24,0.005873715124816446
FVT7,CD,Get Angle2,Get Angle2,45.0,48.0,4086,24,0.005873715124816446
FVT7,CD,Get Angle3,Get Angle3,67.5,72.0,4085,23,0.005630354957160343
FVT7,CD,Get Angle4,Get Angle4,90.0,96.0,4085,23,0.005630354957160343
FVT7,CD,Get Angle5,Get Angle5,112.5,120.0,4085,23,0.005630354957160343
FVT7,CD,Get Angle6,Get Angle6,135.0,144.0,4085,23,0.005630354957160343
FVT7,CD,Get Angle7,Get Angle7,157.5,168.0,4085,23,0.005630354957160343
FVT7,CD,Get Angle8,Get Angle8,180.0,192.0,4085,23,0.005630354957160343
FVT7,CD,Get Angle9,Get Angle9,202.5,216.0,4085,23,0.005630354957160343
FVT7,CD,Get AngleA,Get AngleA,225.0,240.0,4085,23,0.005630354957160343
FVT7,CD,Get AngleB,Get AngleB,247.5,264.0,4083,21,0.005143277002204262
FVT7,CD,Get AngleC,Get AngleC,270.0,288.0,4083,21,0.005143277002204262
FVT7,CD,Get AngleD,Get AngleD,292.5,312.0,4081,19,0.004655721636853712
FVT7,CD,Get AngleE,Get AngleE,315.0,336.0,4062,0,0.0
FVT7,CD,Get AngleF,Get AngleF,337.5,337.5,3835,0,0.0
FVT7,CW,Get Angle0,Get Angle0,0.0,0.0,9041,1,0.00011060723371308483
FVT7,CW,Get Angle1,Get Angle1,22.5,23.47133999999998,9040,221,0.024446902654867257
FVT7,CW,Get Angle2,Get Angle2,45.0,47.05402499999998,9041,222,0.024554805884304833
FVT7,CW,Get Angle3,Get Angle3,67.5,70.44061499999994,9040,221,0.024446902654867257
FVT7,CW,Get Angle4,Get Angle4,90.0,93.97697999999991,9040,221,0.024446902654867257
FVT7,CW,Get Angle5,Get Angle5,112.5,117.4349249999999,9040,221,0.024446902654867257
FVT7,CW,Get Angle6,Get Angle6,135.0,140.9629499999998,9040,221,0.024446902654867257
FVT7,CW,Get Angle7,Get Angle7,157.5,164.4339899999999,9040,221,0.024446902654867257
FVT7,CW,Get Angle8,Get Angle8,180.0,187.9285199999998,9040,221,0.024446902654867257
FVT7,CW,Get Angle9,Get Angle9,202.5,210.9742875,9039,220,0.024338975550392744
FVT7,CW,Get AngleA,Get AngleA,225.0,233.1224999999999,9036,217,0.024015050907481187
FVT7,CW,Get AngleB,Get AngleB,247.5,256.5720299999999,9036,217,0.024015050907481187
FVT7,CW,Get AngleC,Get AngleC,270.0,278.70345,9034,215,0.023798981624972328
FVT7,CW,Get AngleD,Get AngleD,292.5,299.19946875,9029,210,0.023258389633403476
FVT7,CW,Get AngleE,Get AngleE,315.0,315.8198400000001,9009,190,0.021090021090021092
FVT7,CW,Get AngleF,Get AngleF,337.5,337.5,8819,0,0.0
FVT8,CD,Get Angle0,Get Angle0,0.0,0.0,420,0,0.0
FVT8,CD,Get Angle1,Get Angle1,22.5,24.0,420,2,0.004761904761904762
FVT8,CD,Get Angle2,Get Angle2,45.0,48.0,420,2,0.004761904761904762
FVT8,CD,Get Angle3,Get Angle3,67.5,72.0,420,2,0.004761904761904762
FVT8,CD,Get Angle4,Get Angle4,90.0,96.0,420,2,0.004761904761904762
FVT8,CD,Get Angle5,Get Angle5,112.5,120.0,420,2,0.004761904761904762
FVT8,CD,Get Angle6,Get Angle6,135.0,144.0,420,2,0.004761904761904762
FVT8,CD,Get Angle7,Get Angle7,157.5,168.0,420,2,0.004761904761904762
FVT8,CD,Get Angle8,Get Angle8,180.0,192.0,420,2,0.004761904761904762
FVT8,CD,Get Angle9,Get Angle9,202.5,216.0,420,2,0.004761904761904762
FVT8,CD,Get AngleA,Get AngleA,225.0,240.0,419,1,0.002386634844868735
FVT8,CD,Get AngleB,Get AngleB,247.5,264.0,419,1,0.002386634844868735
FVT8,CD,Get AngleC,Get AngleC,270.0,288.0,419,1,0.002386634844868735
FVT8,CD,Get AngleD,Get AngleD,292.5,312.0,419,1,0.002386634844868735
FVT8,CD,Get AngleE,Get AngleE,315.0,336.0,418,0,0.0
FVT8,CD,Get AngleF,Get AngleF,337.5,337.5,363,0,0.0
FVT8,CW,Get Angle0,Get Angle0,0.0,0.0,6740,1,0.0001483679525222552
FVT8,CW,Get Angle1,Get Angle1,22.5,89.95918499999999,6635,207,0.03119819140919367
FVT8,CW,Get Angle2,Get Angle2,45.0,148.6584000000001,6569,149,0.022682295630994064
FVT8,CW,Get Angle3,Get Angle3,67.5,216.0,6512,97,0.014895577395577396
FVT8,CW,Get Angle4,Get Angle4,90.0,254.9452799999992,6413,156,0.02432558864805863
