FVT,BaseType,Date,Status
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Passed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-01,Failed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-02,Failed
FVT7,CD,2025-07-02,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Failed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-03,Passed
FVT7,CD,2025-07-04,Passed
FVT7,CD,2025-07-04,Failed
